Word,Meaning
learn,"배우다, 외우다"
speak,"말하다, 연설하다"
something,"무엇인가, 어떤 것"
try,"해보다, 노력하다"
enjoy,즐기다
because,"왜냐하면, ~이기 때문에"
than,~보다
before,"~앞에, 이전에"
oneself,자기 자신이
understand,"이해하다, 알다"
become,~이 되다
always,"언제나, 항상"
which,어느 것
really,"정말로, 참으로"
away,"떨어져서, 저쪽에"
visit,방문하다
please,"부디, 기쁘게 하다"
stay,머무르다
hope,"희망하다, 바라다"
any,"무언가의, 조금도"
let,~시키다
beautiful,아름다운
window,창문
sure,"확실한, 물론"
almost,거의
without,~없이
own,"자신의, 소유하다"
such,그러한
during,"~동안, ~하는 중"
river,강
perhaps,"아마, 어쩌면"
shout,외치다
example,"예, 보기"
off,떨어져
far,"먼, 멀리"
both,양쪽의
busy,"바쁜, 번화한"
everything,모든 것
afraid,두려워하여
nothing,아무것도~않다
someone,"어떤 사람, 누군가"
garden,정원
trip,여행
quite,"아주, 꽤"
seem,~처럼 보이다
travel,여행
piece,"조각, 한 개"
history,역사
light,"빛, 밝은, 가벼운"
along,~을 따라서
carry,나르다
outside,"바깥쪽, 외부의"
tired,피곤한
worry,걱정하다
side,"쪽, 옆"
between,~의 사이에
front,"앞, 앞면의"
ever,"일찍이, 이제까지"
famous,유명한
climb,기어오르다
behind,~의 뒤에
pay,"치르다, 지불하다"
hill,"언덕, 작은 산"
else,그 밖에
cover,덮다
true,진실한
husband,남편
mistake,"잘못, 착오"
restaurant,식당
carefully,주의 깊게
yet,아직
everybody,누구나 다
dance,춤추다
album,사진첩
airport,"공항, 비행장"
player,"선수, 연주자"
cave,동굴
hurry,서두르다
hospital,병원
dream,꿈
dead,죽은
whose,누구의
plan,계획하다
careful,주의 깊은
excuse,"용서하다, 변명하다"
follow,따르다
ski,스키를 타다
speech,"말, 연설"
toward,~쪽으로
corner,"구석, 모퉁이"
maybe,"아마, 어쩌면"
special,특별한
useful,"쓸모 있는, 유용한"
rock,바위
reason,"이유, 이성"
science,과학
museum,박물관
wonder,이상하게 생각하다
another,"또 하나의, 다른"
life,"생활, 인생"
city,도시
each,"각각의, 각자의"
poster,"포스터, 벽보"
sometimes,가끔
inch,인치
should,~하여야 한다
month,"달, 1개월"
class,"학급, 수업"
later,"후에, 나중에"
great,"위대한, 큰"
town,도시
feel,느끼다
wait,기다리다
road,"길, 도로"
interesting,흥미 있는
glove,장갑
cream,크림
mask,가면
mean,의미하다
runner,달리는 사람
pool,수영장
show,보이다. 안내하다
animal,동물
question,"질문, 문제"
bring,가져오다
minute,"분, 순간"
anything,"무엇인가, 아무것도"
through,~을 통하여
low,"낮은, 싼"
need,필요로 하다
part,"부분, 일부, 역할"
course,"진로, 과정, 방침"
even,~조차도
interest,"흥미, 관심"
glad,기쁜
remember,생각해내다
arrive,도착하다
enough,충분한
doctor,"의사, 박사"
street,거리
leader,지도자
able,~할 수 있는
usually,"보통, 대개"
catch,붙잡다
idea,"생각, 관념"
forget,잊다
sleep,"자다, 수면"
tomorrow,내일
sorry,미안한
job,"일, 직업"
open,열다
paper,"종이, 신문"
cold,"추운, 감기"
laugh,"웃다, 웃음"
plane,비행기
early,"일찍, 이른"
late,"늦은, 늦게"
difficult,"어려운, 곤란한"
everyone,모두 다
happen,"일어나다, 발생하다"
finish,끝내다
teach,가르치다
mountain,산
sound,"소리, ~로 생각되다"
change,"변화하다, 잔돈"
suddenly,갑자기
wonderful,"놀라운, 훌륭한"
birthday,생일
easy,쉬운
important,"중요한, 중대한"
short,"짧은, 키가 작은"
break,"부수다, 어기다"
already,"벌써, 이미"
pound,파운드
quick,"빠른, 빨리"
club,"클럽, 곤봉"
close,"닫다, 가까운"
since,~이래
print,"인쇄하다, 인쇄물"
building,건물
east,동쪽의
o'clock,~시
dark,어두운
bicycle,자전거
college,단과 대학
heart,"심장, 중심"
lady,"숙녀, 귀부인"
radio,라디오
indoor,실내의
lake,호수
rain,"비, 비가 내리다"
drive,운전하다
tennis,"테니스, 정구"
under,~아래에
shirt,와이셔츠
die,죽다
gold,"금, 금화"
ship,배
warm,따뜻한
reader,"독자, 독서가"
clothes,"옷, 의복"
seat,좌석
poor,"가난한, 서투른"
make,만들다
across,가로질러
believe,믿다
library,"도서관, 도서실"
holiday,"휴일, 휴가"
lately,"요즘, 최근"
ground,"땅, 운동장"
look,"보다,~으로 보이다"
spend,"소비하다, 보내다"
field,"들, 경기장"
strong,"강한, 튼튼한"
camera,"카메라, 사진기"
phone,"전화, 전화하다"
mile,마일
sick,"병든, 싫증난"
member,"회원, 일원"
return,"돌아오다, 복귀"
until,~까지
ready,준비된
pull,"잡아당기다, 끌다"
alone,"홀로, 다만~뿐"
tape,테이프
living room,거실
build,"짓다, 건축하다"
dollar,달러
half,"절반, 30분"
ride,타다
clean,"깨끗한, 청소하다"
telephone,전화
wash,"씻다, 세탁하다"
among,~의 사이에
office,"사무소, 회사"
several,"여럿의, 각각의"
voice,목소리
win,이기다. 얻다
island,섬
sell,"팔다, 팔리다"
full,"가득한, 충분한"
aunt,"아주머니, 이모"
paint,그리다
though,비록~일지 라도
jump,"뛰다, 도약"
reach,"도착하다, 닿다"
hole,구멍
floor,"바닥, 층"
inside,"안쪽, 안쪽의"
village,마을
golden,"금빛의, 귀중한"
skate,스케이트를 타다
wood,"나무, (~s)숲"
person,사람
strange,"이상한, 낯선"
wear,착용하다
trouble,"고생, 어려움"
problem,문제
invite,초대하다
language,"언어, 국어"
lose,"잃다, 지다"
different,다른
surprise,"놀라게 하다, 놀람"
welcome,환영하다
deicide,"결정하다, 결심하다"
dictionary,사전
shake,"흔들다, 흔들리다"
foreign,외국의
culture,"문화, 교양"
noise,시끄러운 소리
church,교회
easily,"쉽게, 용이하게"
cloud,구름
cool,"시원한, 냉정한"
arm,"팔, (~s)무기"
pocket,호주머니
moment,순간
ticket,"표, 입장권"
basketball,농구
line,"선, 줄"
shoe,신발
fight,"싸우다, 전투"
police,경찰
Mt.,산
unhappy,불행한
meat,고기
marry,결혼하다
difference,차이
heaven,"하늘, 천국"
harvest,수확하다
century,세기. 100년
soldier,군인
age,"나이, 시대"
weather,날씨
past,과거의
excite,흥분시키다
fact,사실
television,텔레비전
stone,돌
foreigner,외국인
however,그러나
accident,"사고, 뜻밖에 사건"
finally,"최후로, 마침내"
pole,막대기
idle,게으른
guess,"추측하다, 추측"
treat,"다루다, 치료하다"
Chinese,"중국의, 중국인의"
wild,"야생의, 난폭한"
record,"기록, 기록하다"
factory,공장
mix,섞다. 섞이다
agree,"동의하다, 일치하다"
information,"정보, 안내, 지식"
shopkeeper,가게 주인
popular,"인기 있는, 유행의"
forest,숲
future,"미래, 미래의"
autumn,가을
coin,"동전, 주화"
choose,"고르다, 선택하다"
vacation,휴가
continue,계속하다
southern,남쪽의
business,"사업, 일, 상업"
introduce,"소개하다, 도입하다"
practice,"연습, 실행하다"
neighbor,이웃 사람
amount,"양, 액수, 총액"
dangerous,위험한
space,"우주, 공간"
traffic,교통
expensive,비싼
machine,기계
middle,중간의
slow,"느린, 천천히"
page,"쪽, 페이지"
mark,"표, 기호, 표시하다"
blackboard,칠판
scientist,과학자
grass,"풀, 잔디"
meaning,"뜻, 의미"
cousin,사촌
rocket,로켓
sandwich,샌드위치
candy,"캔디, 사탕 과자"
number,"수, 번호"
gentleman,신사
speed,"속력, 속도"
knife,"나이프, 칼"
clock,시계
team,"팀, 조"
hurt,상처를 입히다
yard,마당
spell,철자하다
speaker,"말하는 사람, 연설자"
lawyer,"변호사, 법률가"
orange,"오렌지, 오렌지색"
throw,던지다
meter,미터
meal,식사
north,"북쪽, 북쪽의"
god,"신, 하나님"
wind,바람
yellow,노란색의
concert,"음악회, 연주회"
center,"중앙, 중심"
heavy,"무거운, 심한"
note,"기록, 적어 두다"
weak,약한
dry,"마른, 말리다"
supper,저녁밥
noon,"정오, 한낮"
anyone,"누군가, 누구라도"
rude,"무례한, 버릇없는"
normal,"정상의, 보통의"
dining room,식당
south,"남쪽, 남쪽의"
above,~위에
China,중국
group,"집단, 무리"
guitar,기타
most,"가장 많은, 대부분"
join,"결합하다, 참가하다"
bridge,다리
cent,센트
ill,"병든, 나쁜"
size,"크기, 치수"
bath,목욕
pond,연못
pair,한쌍 한벌
probably,아마
mad,"미친, 열광적인"
tonight,오늘 밤
prize,"상, 상품"
instead,그 대신에
justice,정의
mercy,자비
discuss,"토론하다, 논의하다"
rice,"쌀, 벼, 밥"
flight,"비행, 날기"
fruit,과일
monkey,원숭이
million,"100만, 100만의"
certainly,"확실히, 꼭"
classmate,"동급생, 급우"
west,"서쪽, 서쪽의"
map,지도
tie,"매다, 동점이 되다"
push,밀다
pen pal,"펜팔, 편지 친구"
favorite,아주 좋아하는
terrible,"무시무시한, 끔찍한"
soft,"부드러운, 온화한"
COW,암소
tail,꼬리
aloud,"소리 내어, 큰소리로"
wall,벽
tourist,관광객
rise,"오르다, 일어나다"
list,"명부, 목록, 표"
singer,"가수, 성악가"
lead,"인도하다, 안내하다"
turtle,거북
sailor,"선원, 수병"
clever,"영리한, 솜씨 있는"
beach,"해변, 해안"
impressive,인상적인
painting,그림
receive,받다
friendly,"친한, 친절한"
cook,"요리하다, 요리사"
loud,큰소리의
northern,북쪽의
less,~보다 적은
dig,파다
fill,"채우다, 가득하다"
pet,애완동물
garbage,쓰레기
lucky,"행운의, 운 좋은"
secret,"비밀, 비밀의"
beside,~의 곁에
shape,"모양, 모습"
tiny,아주 작은
Unite States,(the~) 미합중국
feeling,"느낌, (~s)감정"
statue,조각상
ancient,고대의
art,"예술, 미술"
burn,"타다, 태우다"
contest,"경쟁, 경기"
experience,"경험, 경험하다"
date,날짜
explain,설명하다
habit,습관
boring,지루한
bother,괴롭히다. 귀찮게 굴다
gesture,"몸짓, 손짓"
battle,"싸움, 전투"
promise,"약속, 약속하다"
artist,"예술가, 화가"
nobody,아무다~않다
sentence,문장
scholar,학자
stupid,어리석은
rather,"오히려, 꽤"
wish,"바라다, 소원"
drop,"떨어지다, 방울"
hide,"숨기다, 숨다"
forward,"앞으로, 앞쪽의"
diary,일기
expect,기대하다
international,국제적인
mayor,시장
master,"주인, 정복하다"
vegetable,"채소, 야채"
borrow,빌리다
straight,"똑바른, 똑바로"
precious,귀중한
beyond,~저편에
twice,"두 번, 두 배로"
celebrate,축하하다
beginning,"처음, 시작"
below,~의 아래에
guest,손님
plate,"접시, 얇은 판"
proud,자랑스러운
wake,"깨다, 깨우다"
season,"계절, 시기"
shine,빛나다
clear,"맑은, 명백한"
control,"지배, 관리"
desert,사막
consist,~으로 구성되다
symbol,상징
fantastic,"환상적인, 공상적인"
monument,"기념비, 기념물"
turkey,칠면조
frog,개구리
fit,"알맞은, 어울리다"
modern,"현대의, 근대의"
government,"정부, 정치"
simple,"간단한, 단순한"
price,"값, 가격, 대가"
lazy,게으른
chicken,"닭, 닭고기"
engine,"기관, 기관차"
smoke,"담배 피우다, 연기"
ghost,유령
madam,부인
nearly,"거의, 하마터면"
smell,냄새 맡다 냄새
air,"공기, 방송하다"
Spain,스페인
lovely,사랑스러운
stamp,"우표, 도장"
elect,선거하다
limit,"제한, 제한하다"
whole,"전체의, 모든"
blow,불다
hall,"홀, 회관"
pilot,"조종사, 파일럿"
bottle,병
power,"힘, 능력, 권력"
serve,"섬기다, 봉사하다"
hometown,고향
step,"걸음, 계단"
cheap,값싼
add,"더하다, 보태다"
blood,"피, 혈액"
wing,날개
rope,"밧줄, 줄"
dirty,더러운
fox,여우
kindness,"친절, 친절한 행위"
worse,더 나쁜
gate,"문, 출입문"
health,건강
musician,음악가
neck,목
empty,"텅빈, 비우다"
sacrifice,"희생하다, 희생"
silver,"은, 은화"
officer,"공무원, 관리"
none,아무도~않다
anyway,"어쨌든, 하여간"
sunshine,햇빛
especially,특히
opera,"오페라, 가극"
peace,평화
shut,닫다
captain,"우두머리, 선장"
principal,"교장, 중요한"
universe,"우주, 전 세계"
generally,"일반적으로, 대체로"
discover,발견하다
engineer,"기사, 기술자"
value,"가치, 가격"
ambitious,야망을 품은
diligent,"부지런한, 근면한"
forgive,용서하다
wander,떠돌아다니다. 헤매다
remove,"옮기다, 제거하다"
gun,"총, 대포"
leaf,나뭇잎
possible,가능한
lend,빌려 주다
rabbit,토끼
law,"법, 법률, 법칙"
somewhere,어딘가에
umbrella,우산
bit,"조금, 작은 조각"
stranger,낯선 person
advice,"충고, 조언"
method,방법
appreciate,"감사하다, 감상하다"
adult,"어른, 어른의"
magazine,잡지
endure,"참다, 견디다"
talent,"재능, 재주"
protect,보호하다
program,프로그램 진행 순서
shoulder,어깨
tear,"눈물, 찢다"
pollute,"더럽히다, 오염시키다"
throat,목구멍
glory,영광
climate,기후
pollution,오염
unless,만일~하지 않으면
lift,들어 올리다
bark,짖다. 짖는 소리
belong,~에 속하다
raise,올리다
deep,"깊은, 깊게"
form,"모양, 형성하다"
candle,양초
Russian,"러시아의, 러시아인"
funny,"재미있는, 우스운"
host,주인
although,비록~일지 라도
area,"지역, 면적"
prince,왕자
rush,"돌진하다, 급히 하다"
theater,극장
thought,"생각, 사상"
hang,"걸다, 매달다"
suppose,"상상하다, 가정하다"
university,대학교
event,"사건, 행사"
message,"전갈, 소식"
metal,금속
communicate,의사소통하다
cost,"비용, 지불하다"
medicine,"약, 의학"
memory,"기억, 추억"
nervous,"신경질의, 신경의"
queen,여왕
custom,"관습, 습관"
create,창조하다
remain,"남다, ~인 채로 있다"
cultural,"문화의, 교양의"
harmony,"조화, 화합"
model,"모형, 모범적인"
servant,"하인, 고용인"
prepare,준비하다
challenge,"도전, 도전하다"
survive,살아남다
position,"위치, 입장, 상태"
praise,칭찬하다. 칭찬
hero,"영웅, 주인공"
attractive,매력적인
favor,"호의, 친절, 부탁"
palace,궁전
repeat,"되풀이하다, 반복하다"
citizen,시민
unite,결합하다
warn,"경고하다, 주의하다"
medical,의학의
devil,악마
valley,"골짜기, 계곡"
